Date,Open,Close,High,Low
20/06/2013,41.99,41.99,42,20.5
21/06/2013,41.99,41.98,42,20.5
24/06/2013,41.98,41.99,42,20.5
25/06/2013,41.99,41.99,42,20.5
26/06/2013,41.99,41.99,42,20.5
27/06/2013,41.99,42,42,20.5
28/06/2013,42,41.66,42,20.5
02/07/2013,41.66,41.66,42,20.5
03/07/2013,41.66,41.66,42,20.5
04/07/2013,41.66,41.66,42,20.5
05/07/2013,41.66,41.66,42,20.5
08/07/2013,41.66,41.75,42,20.5
09/07/2013,41.75,41.8,42,20.5
10/07/2013,41.8,41.8,42,20.5
11/07/2013,41.8,41.8,42,20.5
12/07/2013,41.8,42,42,20.5
15/07/2013,42,42,42,20.5
16/07/2013,42,42,42,20.5
17/07/2013,42,42,42,20.5
18/07/2013,42,42,42,20.5
19/07/2013,42,42,42,20.5
22/07/2013,42,41.98,42,20.5
23/07/2013,41.98,41.98,42,20.5
24/07/2013,41.98,41.95,42,20.5
25/07/2013,41.95,41.95,42,20.5
26/07/2013,41.95,41.95,42,20.5
29/07/2013,41.95,41.95,42,20.5
30/07/2013,41.95,41.94,42,20.5
31/07/2013,41.95,41.93,42,41.93
01/08/2013,41.93,41.9,42,41.9
02/08/2013,41.9,41.9,42,41.9
05/08/2013,41.9,41.9,42,41.9
06/08/2013,41.9,41.9,42,41.9
07/08/2013,41.9,41.9,42,41.9
09/08/2013,41.9,41.9,42,41.9
12/08/2013,5.24,5.24,5.25,5.24
13/08/2013,5.24,5.24,5.25,5.24
14/08/2013,5.24,5.25,5.25,2.94
15/08/2013,5.25,5.25,5.25,2.94
16/08/2013,5.25,5.25,5.25,2.94
19/08/2013,5.25,5.25,5.25,2.94
20/08/2013,5.25,5.25,5.25,2.94
21/08/2013,5.25,5.24,5.25,2.94
22/08/2013,5.24,5.24,5.25,2.94
23/08/2013,5.24,5.24,5.25,2.94
26/08/2013,5.24,5.24,5.25,2.94
27/08/2013,5.24,5.24,5.25,2.94
28/08/2013,5.24,5.22,5.25,2.94
29/08/2013,5.22,5.22,5.25,2.94
30/08/2013,5.22,5.22,5.25,2.94
02/09/2013,5.22,5.22,5.25,2.94
03/09/2013,5.22,5.22,5.25,2.94
04/09/2013,5.22,5.21,5.25,2.94
05/09/2013,5.21,5.2,5.25,2.94
06/09/2013,5.2,5.2,5.25,2.94
09/09/2013,5.2,5.2,5.25,2.94
10/09/2013,5.2,5.18,5.25,2.94
11/09/2013,5.18,5.18,5.25,2.94
12/09/2013,5.18,5.18,5.25,2.94
